source,english_sentence,hindi_sentence
indic2012,4. Should be within the special powers of the House,4. सदन की विशेष शक्तियॉ मे आता हो
tides,"In fact our planet is a water planet as it contains 70 per cent of water , the rest being the earth .",वास्तव में हमारा ग्रह ही एक ऐसा ग्रह है जहां 70 प्रतिशत पानी है और बाकी धरती है .
indic2012,"In the ancient times, this used to be a",प्राचीन समय में यह एक
tides,"In a space of a month , the Centre has dabbled in autonomy , a dialogue with the Hurriyat Conference and now the ceasefire call .","एक ही महीने में केंद्र पहले स्वायत्तता , फिर ह्र्रियत से वार्ता और अब युद्धविराम की घोषणा से रू-ब-रू हा है ."
tides,"As the Hindus call these tithis nychthemera , they also call the former half of a titht day , the latter half night .",जिस प्रकार हिन्दू इन ? तिथियों ? को अहोरात्र कहते हैं उसी प्रकार वे तिथि के पूर्वाध के दिन और उत्तरार्ध को रात कहते हैं .
indic2012,Sanskrit belongs to the family Indo-European languages and is classified under Indo-arya sub-branch of Indo-Irani branch.,संस्कृत हिन्द-यूरोपीय भाषा-परिवार की हिन्द-ईरानी शाखा की हिन्द-आर्य उपशाखा में शामिल है।
tides,"A fortnight later he was in Calcutta for a medical check-up , and on 19 September went up to Kalimpong to recuperate in the glorious autumn of the eastern Himalayas .","19 सितंबर को वे दोबारा कलिम्पोंग चले गए , पूर्वी हिमालय की पहाड़ियों पर हेमंत ऋतु के नैसर्गिक वातावण में स्वास्थ्य-लाभ करने ."
ted,"are very different and distinct, and that I had learned it very well,","बहुत अलग और विशिष्ट होते हैं, और यह कि मैने वाक्यांश को बहुत अच्छी तरह से सीखा था,"
indic2012,In Uncertainties future temperature and total world different parts of hot and related changes involved.Most national govt Kyoto protocol are sighned.,शेष वैज्ञानिक अनिश्चितताओं (uncertainties) में भविष्य का गर्म तापमान और पूरे विश्व के अलग-अलग भागों में गर्मी और संबंधित परिवर्तनों की भिन्नता शामिल है.ज्यादातर राष्ट्रीय सरकारों (Most national governments)ने क्योटो प्रोटोकॉल (Kyoto Protocol)पर हस्ताक्षर कर दिए हैं और उसकी तस्दीक़ भी कर दी है. क्योटो प्रोटोकॉल का उद्देश्य ग्रीनहाउस गैसों ओ कम करना है पर सारे संसार में राजनितिक (political)और लोक बहस (public debate)छिडी हुई है की कोई कदम उठाना चाहिए के नही ताकि भविष्य में वार्मिंग को कम किया जा सके या उलटाया (reduce or reverse)जा सके या उसके असर को ढाला (adapt)जा सके
tides,The poverty of the people found its visible manifestation in the series of famines which ravaged the country during the second half of the 19th century .,लोगों की यह दरिद्रता स्पष्ट रूप से 19वीं शताब्दी के अंतिम 50 वर्षों में निरंतर पड़ने वाले उन अकालों में देखी गयी जिससे देश तहस-नहस हो गया था .
tides,"The mother swallows more and more meat , merely to feed her ever-hungry growing children .",मां अपने बढ़ते हुए सदा-भूखे बच्चों के लिए ही अधिकाधिक मांस निगलती है .
ted,then we can save lives.,तो हम कई जीवन बचा सकते हैं.
ted,but change the laws. Change the global treaties.,लेकिन का़नून भी बदलें। वैश्विक सन्धियों को बदलें।
ted,(Laughter),(ठहाके)
tides,The average age of a circus elephant is about 35 years .,सर्कस के हाथी की औसत उम्र 35 वर्ष होती है .
ted,or “Nyan Cat?”,या “न्यान कैट”?
tides,"Vegetables , papers , waste food , plastics and similar items should not be thrown in open drains , but placed inside paper bags and disposed off in bins kept in the streets by the local bodies for this purpose .","सब्जियों , कागज बेकार भोजन , प्लास्टिक तथा ऐसी अन्य वस्तुओं को खुले नालों में नहीं फेंकना चाहिए , बल्कि उन्हें कागज के थैलों में रखकर स्थानीय निकायों द्वारा कूडऋआ फेंकने के लिए गलियों में रखे गये कूडऋआदानों में फेंकना चाहिए ."
indic2012,"The State cannot keep a separate Constitution independently, only one Constitution is applicable both to the Center and State.",2 राज्य अपना पृथक संविधान नही रख सकते है केवल एक ही संविधान केन्द्र तथा राज्य दोनो पर लागू होता है
tides,"After the ducks are feathered , they are ready to range for themselves on tanks and lakes , where grass , snails , and other insects make up a considerable portion of their food .","बतखों पर जब पंख आ जाते हैं तो वे तालाबों , झीलों के आसपास रहने को तैयार हो जाती हैं.वहां पर घास , घोंघे तथा अन्य कीट उनका मुख़्य भोजन होते हैं ."
indic2012,Shrimad Bhagwat Geeta is one of the most sacred scripture of Hindu Religion.,श्रीमद्भगवद्‌गीता हिन्दू धर्म के पवित्रतम ग्रन्थों में से एक है।
ted,"Just think, even when it's cloudy outside,","जरा सोचिये, तब भी जब बाहर बादल हैं,"
ted,"can attest that Pakistanis are an incredibly hard working population,",ये गवाही दे सकते हैं कि पाकिस्तानी लोग बहुत मेहनती होते हैं।
ted,"In war-torn places like Monrovia,","मोनरोविया जैसे युद्ध-ग्रस्त इलाकों में,"
tides,"no matter what the program ,","चाहे कोई भी प्रोग्राम हो ,"
tides,"Domestic dogs have had their tails curtailed for . ..if the palm trees had been too short , the giraffes would have been in great difficulty to eat their leaves .",पालतू कुत्तों की पूछें पिल्ला पैदा होने के तुरंत बाद काट दी जाती हैं परंतु इन्हीं दुमकटे कुत्तों की संतानें पूंछ के साथ ही पैदा होती रहती हैं .
tides,"Others may be due to metabolic or vascular changes as involvement of nerves causing neuropathy -LRB- involving nerves -RRB- , as in the altered sensations in hands and feet or weakness due to loss of motor power .",चयापचय तथा रक़्त संचार तंत्र में होने वाले परिवर्तनों से कुछ अन्य लक्षण पैदा हो जाते हैं जैसे तंत्रिकाओं में परिवर्तनों के कारण न्यूरोपेथी ( तंत्रिका रोग ) होना जिससे हाथों व पैरों की संवेदना में अंतर आ सकता है तथा इनकी मांसपेशियों में कमजोरी पैदा हो सकती है .
tides,Calcutta was known as the ' city of palaces ' and the ' city of gardens ' in the early part of this century .,इस शताब्दी के प्रारंभिक वर्षों में कलकत्ता ' महलों और उद्यानों का शहर ' जाना जाता था .
tides,The people worship the land and it is supposed to be sinful to steal or sell it .,भूमि से लोग को विशेष मोह है.इसे बेचना तथा चुराना पाप समझा जाता है .
indic2012,"As 21 parts of Rugvedh,101 parts of Yajurvedh, 1000 parts of Saamvedh and 9 parts of Atharvavedh- like this there are total 1131 parts.",यथा-ऋग्वेद की २१ शाखा यजुर्वेद की १०१ शाखा सामवेद की १००० शाखा और अथर्ववेद की ९ शाखा- इस प्रकार कुल ११३१ शाखाएँ हैं।
indic2012,"Vedvyas has combined 11 books of Upanishadas into single book so that common man can understand it, and hence knowledge imparted by god is revelead to common human being",वेदव्यास की महानता ही है जो कि ११ उपनिषदों के ज्ञान को एक पुस्तक में बाँध सके और मानवता को एक आसान युक्ति से परमात्म ज्ञान का दर्शन करा सके।
ted,"You need to take them out of search engines,","आप को उन्हें सर्च इंजिन से हटाना होगा,"
tides,"The crisis was subsequently defused , but the BJP 's relations with the RSS had by then sunk to an all-time low .","अंततः वह संकट टल गया , मगर तब तक आरएसएस के साथ भाजपा के संबंध भत खराब हो चुके थे ."
indic2012,"There are numerous baeutiful trees here, hence this place has been named “”Sunderban“” (Beautiful forest)",यहाँ बड़ी तादाद में सुंदरी पेड़ मिलते हैं जिनके नाम पर ही इन वनों का नाम सुंदरवन पड़ा है।
ted,"thinking, “Now there will be no cars",ये सोचते हुए की अब कोई कारें नहीं होंगी
ted,by copying others.,दूसरो की नकल उतारने के कारण है।
ted,of our country and other parts of the world who are creative.,", अपने देश में और विश्व के अनेक भागों मे, जहाँ भी रचनात्मक्ता है ।"
ted,"Every November,",हर नवम्बर में
ted,"We know that scientifically,","और ये तो वैज्ञानिक तौर पर भी साबित हो चुका है,"
indic2012,"The electricity supply in Mumbai city is done by Best, Reliance energy, Tata Power and mahavitaran (Maharashtra state electricity Supply company Ltd).",मुंबई शहर में विद्युत आपूर्ति बेस्ट रिलायंस एनर्जी टाटा पावर और महावितरण (महाराष्ट्र राज्य विद्युत वितरण कंपनी लि.) करते हैं।
tides,"The scarab is popularly called dung-roller beetle , because of its curious habit of rolling into balls the dung of sheep and cow .",स्कैरब का लोकप्रिय नाम गुबरैला है क़्योंकि बकरी और गाय के गोबर की गेंद बनाकर यह उसको लुढ़काता है .
ted,The importance is what you do,महत्वपूर्ण बात यह है कि आप क्या करते हैं
tides,"Limitations of the elderly can be remedied by changes in social customs , so that much can be done to improve the status of the aged .",प्रौढ़ता की सीमाओं का प्रतिकार केवल सामाजिक परंपराओं में परिवर्तन द्वारा किया जा सकता है जिससे वृद्धों की दशा को बेहतर बनाने के लिए कुछ किया जा सके .
tides,No wonder that when it was published the author received a letter from the famous veteran congratulating him on the achievement .,इसमें आश्चर्य की कोई बात नहीं होनी चाहिए कि जब यह प्रकाशित हुआ तो उसके लेखक को उसी प्रसिद्ध दिग्गज रचनाकार का एक पत्र मिला जिसमें उसे इस उपलब्धि के लिए बधाई दी गई थी .
ted,was one of the first people to post a joke about the video on Twitter.,उन पहले लोगों में से एक है जिसने इसके बारे मे ट्वीटर पर मज़ाक किया।
ted,"Well this is what it's all about,",चतुराई और साहस के जोशीले
indic2012,The giver should check the matter with regular concened incrementation tha may be in out side of our nation.,· पुरुष (Giver) को सहूलियत ☻☻☻ · पुरुष (Giver) को परेशानी ☻ · पुरुष (Giver) को आनंद ☻☻☻ ☺
ted,"my profession, the music profession doesn't see it that way.","मेरा व्यवसाय, संगीत का व्यवसाय इसे इस तरह नहीं देखता है."
tides,Your employer has a duty to protect you and keep you informed about health and safety .,आपको नियोक्ता का कर्तव्य है कि वह आपको सुरक्षा दे और स्वास्थ्य तथा सुरक्षा-संबंधी सूचना देता रहे |भाष्;
indic2012,"Other poets like Bhartendu Harishchandra, Sumitranandan Pant and Shridhar Pathak have also stated the importance of the Ganga.",अन्य कवियों में भारतेन्दु हरिश्चन्द्र सुमित्रानन्दन पन्त और श्रीधर पाठक आदि ने भी यत्र-तत्र गंगा का वर्णन किया है।
indic2012,"Improvement steps: If the lady wants, she can get on to a stair or stool to reduce the stretch for her partner.",उन्नयन कदमः महिला चाहे तो अपने पार्टनर के खिंचाव को कम करने के लिये सीढ़ी या फिर स्टूल पर चढ़ सकती है.
tides,Some songs describe the flirtatious relationships between the younger brother and the sister in law .,देवर भाभी के संबंधों को लेकर भी गीत परंपरित है .
ted,(Laughter),(हँसी)
ted,And the ten-year-old on every eight notes.,और दस-साल का बच्चा हर आठ स्वरों पर.
indic2012,This epic gives evidence that the master of Sur was Shri Ballabhacharya.,इस ग्रन्थ से यह भी प्रमाण मिलता है कि सूर के गुरु श्री बल्लभाचार्य थे।
tides,The first one donates some curds to the second while the second donates some rice to the first .,"पहला दूसरे को कुछ दही दे दे , और दूसरा पहले को कुछ चावल दे दे ."
tides,The cost of feed represents more than half the total expenditure on raising poultry .,मुर्गीपालन पर होनेवाले कुल खर्चे का आधा तो इनके भोजन पर ही होता है .
tides,"Judges , of course , have to give their verdict on the material on record and no one can and should expect the courts to hold a person guilty unless there be credible evidence to substantiate the charge against him .",यह सही है कि न्यायाधीशों को अभिलेख पर उपलब्ध सामग्री के आधार पर ही अपने निर्णय देने होते हैं और कोई व्यक्ति यह आशा नहीं कर सकता और न करनी चाहिए कि किसी व्यक्ति के विरुद्ध लगाए गए आरोप को सिद्ध करने के लिए विश्वसनीय साक्ष्य न हो तो भी न्यायालय उसे दोषी ठहराएगा .
tides,Wool from these sheep is used for the manufacture of army hosiery and tweeds .,इस नस्ल की भेड़ों से प्राप्त ऊन से सेना के लिए हौजरी और ऊनी कपड़ा तैयार किया जाता है .
ted,to lift your leg and walk like a robot. Right?,अपने पैर को उठाने और रोबोट की तरह चलने में | है ना?
tides,"They were distraught , searching for answers .","हर जगह सन्नाटा छा गया , किसी को कुछ सूज्ह नहीं रहा था ."
tides,"The number of winners has also come down , especially in the southern states , where lotteries now have the biggest markets .","विजेताओं की संया भी खासकर दक्षिणी राज्यों में , जहां लॅटरी का सबसे ज्यादा कारोबार है , नीचे आ गई है ."
ted,and recognizes any gestures that he's making,"और वह जो इशारे करता है, उन्हें पहचानता है"
indic2012,"To the west of the ground,adjacent to the road from lahore ghati to chatta chowk there are more nakkarkhana",लाहौर गेट से चट्टा चौक तक आने वाली सड़क से लगे खुले मैदान के पूर्वी ओर नक्कारखाना बना है।
tides,"Elections for the provincial legislatures under the Government of India Act , 1935 were held in February , 1937 .","भारत शासन एक्ट , 1935 के अधीन प्रांतीय विधानमंडलों के चुनाव फरवरी , 1937 में कराए गए ."
indic2012,"Intimacy: depth of penetration, mobility at entrance.",· अंतरंगता (Intimacy) ☻☻☻ · प्रवेश की गहराई ☻☻☻☺ · प्रवेश की गतिशीलता ☻☻☻☻☻
tides,"The study of migration of population or urbanisation offers experiments where a particular genetic predisposition is exposed to differences in environment , usually involving changes in diet , body build , energy expenditure and socio-biological behaviour .","लोगों के प्रवास तथा शहरीकरण के अध्ययनों को हम ऐसे प्रयोग मान सकते हैं जहां आनुवांशिक पूर्वप्रव्Qत्ति विभिन्न परिवेशों के संपर्क में आती है.इन परिवेशों में आहार , शरीर की रचना , ऊर्जा की खपत तथा सामाजिक व जीव वैज्ञानिक व्यवहार काफी अलग-अलग होते हैं ."
ted,and deal with the subject in a way,"और कैसे इस विषय से निपटें,"
tides,"Under the automatic vote recorder system , each member casts his vote from the seat allotted to him pressing the requisite button provided for the purpose .","स्वचलित मत अभिलेखक प्रणाली के अंतर्गत , प्रत्येक सदस्य उदसे आवंटित स्थान से इस प्रयोजन के लिए लगाए गए अपेक्षित बटन को दबाकर अपना मत देता है ."
tides,Make it a principlea principle never to be forgotten when battingthat every ball is to be played on its merits and a defensive or an aggressive stroke is to be employed as the ball requires .,इसे अपना सिद्धांत बना लें ( ऐसा सिद्धांत जिसे बैटिंग करते समकय कभी नहीं भूलना चाहिए ) कि ही गेंद को उसके हिसाब से ही खेलेंगे .
indic2012,Mozilla Firefox web-browser is based on Seamonkey (earlier mozilla),सीमंकी (पूर्व में मोजिल्ला) पर मोजिल्ला फायरफाक्स वेब-ब्राउजर आधारित है।
ted,Which is obvious. It's a great name.,जो कि जाहिर है. यह बहुत अच्छा नाम है.
ted,but it's a lot more interesting than counting stamens. (Laughter),परंतु यह फूलों पराग के सिर गिनने से कहीं ज्यादा रूचिकारक है।
tides,"The object of the migration through the world of reward -LRB- i.e . heaven -RRB- is to direct the attention of the soul to the good , that it should become desirous of acquiring as much of it as possible .",यह कहने का उद्देश्य कि आत्मा स्वर्ग में जाती है यह होता है कि आत्मा को पुण्य कर्म की ओर प्रवृत्त किया जाए ताकि उसमें यथासंभव अधिकाधिक पुण्य कर्म करने की लालसा उत्पन्न हो .
tides,"However , the beginning was modest and growth slow .",इसका प्रारम्भ सीमित था और विकास भी मंद गति से था .
tides,"Much of the glucose stays in the bloodstream , rather than being metabolised or stored , and the body does not get all the energy that it should .",इसके पलसस्वरूप अधिक ग़्लूकोज कोशिकाओं द्वारा इस्तेमाल होने या संग्रहित होने की बजाय रक़्त में ही रहता है तथा शरीर को उतनी उर्जा नहीं मिल पाती जितनी उसे मिलनी चाहिए .
indic2012,a well balanced team have 5-6 specialist batsman and 4-5 specialist bowlers,एक अच्छी तरह से संतुलित टीम में आमतौर पर पाँच या छह विशेषज्ञ बल्लेबाज और चार या पाँच विशेषज्ञ गेंदबाज होते हैं।
tides,"During 1976-79 , consumption of nitrogenous fertilisers increased at the rate of 15-20 per cent per year . 1979-80 was an exception on account of the widespread drought conditions .","सन् 1976-79 के दौरान , नाइट्रोजनयुक्त उर्वरकों की खपत में वृद्धि 15 से 20 प्रतिशत प्रति वर्ष की दर से हुई.सन् 1979-80 का वर्ष चारों तरफ फैले सूखे की स्थिति के कारण अपवाद था ."
ted,anywhere in the world.,पूरी दुनिया में कहीं भी .
tides,It is important to budget for gas and electricity .,गैस और बिजली बिलों के लिये बजट करना महत्वपूर्ण है .
tides,"During some warm and oppressive nights before an imminent rainfall , it takes to the wing and flies out in swarms .",किसी गरम और उमसभरी रात में आसन्न वर्षा से पहले यह झुंडों में उड़ान भरता है .
ted,Innovation is hard,नई खोज कठिन है
tides,"In September 1903 , nine months after her mother 's death , Renuka died , at the age of thirteen .","अपनी मां के निधन के नौ महीने के बाद 1903 के सितंबर माह मे , केवल तेरह वर्ष की आयु में रेणुका की मृत्यु हो गई ."
tides,These and associated guidance notes are available by contacting our general enquiry number :,यह और इस के साथ जुड़े हुए गाईड़ निर्देश नोटस हमारी आम पूछताछ के नंबर पर उपलब्ध हैंः .
indic2012,Category: Nobel prize felicitation,श्रेणी:नोबेल पुरस्कार सम्मानित
indic2012,Sri Bhagavad Gita Original - Prabhupad,श्रीमद् भगवद् गीता यथारूप-प्रभुपाद
indic2012,Section:East Portuguese Colony,श्रेणी:पूर्व पुर्तगाली कालोनी
indic2012,See this also,इन्हें भी देखें
indic2012,this committee has put forth the Nehru report.,इस आयोग ने नेहरू रिपोर्ट पेश की।
tides,The Summary General Court Martial consists of not less than three officers .,संक्षिप्त सामान्य सेना न्यायालय में कम से कम तीन अधिकारी होते हैं .
tides,"As a percentage of our total export trade , jute goods exports registered a steady decline .",कुल निर्यात वऋ-ऊण्श्छ्ष्-यापार के प्रतिशत रूप में जूट सामान के निर्यात में निरंतर गिरावट रही .
indic2012,"Changes in Ganga could mean, an end to our entire civilization.",गंगा के पराभव का अर्थ होगा हमारी समूची सभ्यता का अन्त।
indic2012,He also wrote 'Akbar Nama',उसने अकबरनामा की भी रचना की थी।
ted,And then she looked and did this.,फिर मेरी तरफ देखा और ऐसे इशारा किया.
tides,Her name is Nalini a name that was to remain a favourite with Rabindranath .,उसका नाम है नलिनी- एक ऐसा नाम जो रवीन्द्रनाथ के लिए सदैव प्रिय बना रहा .
tides,"Besides , there were specific factors affecting demand for individual products .","इनके अतिरिक़्त , कुछ और भी विशिष्ट कारण थे जो अलग-अलग उत्पादों की मांग को प्रभावित करते थे ."
tides,"Sushma Swaraj 's assertion in Nagpur that the Government must first convince the party of the wisdom of its economic policy before the party can convince the people , touches the core of the problem .","नागपुर में सुषमा स्वराज का यह कथन मूल समस्या को छूता है कि पार्टी लगों को जाकर कायल करे , इससे पहले सरकार को अपनी आर्थिक नीति के औचित्य के बारे में पार्टी को कायल करना चाहिए ."
tides,"As for the language of law , that is the language of the Supreme Court , the High Courts and the Bills and Acts of Parliament , it was decided that English would continue indefinitely until it was changed by an Act of Parliament .","विधिकी भाषा के संबध में यह निर्णय हुआ कि सुप्रीम कोर्ट , हाई कोर्ट , पार्लियामेंट के विधेयक और अधिनियमों की भाषा के लिए अन्Lश्चित समय तक अंग्रेजी का उपयोग होगा , जब तक कि पार्लियामेट एक़्ट द्वारा उसे बदला नहीं जाता ."
ted,"and then he wanted me to hire someone to deliver half the papers,","और फ़िर उन्होनें कहा कि मैं आधे अखबार बेचने के लिये किसी को नौकरी पर रखूँ,"
ted,"We import 50,000 metric tons of sugar from Brazil and Cuba.","हम ब्राज़ील और क्यूबा से 50,000 मेट्रिक टन चीनी का आयात करते हैं."
tides,It is fair to ask if any progress has been made over four months .,यहां यह पूछना कोई गलत नहीं होगा कि क्या चार महीनों में कोई प्रगति ही है ?
tides,He did not succeed and that brought to an end his association with the Congress .,वे सफल नहीं हुए और इसी के साथ उनका कांग्रेस से संपर्क समाप्त हो गया .
tides,"Even when Vajpayee addressed a massive election rally in January last year , the minister was conspicuous by his absence on the dais and it was Ananth Kumar who hogged the limelight .",यहां तक कि पिछले साल जनवरी में जब वाजपेयी ने एक चुनावी सभा को संबोधित किया तो वे मंच पर मौजूद नहीं थे जबकि अनंत कुमार वहां छाए रहे .
tides,"Karunguzhi years , with the founding of the Sanmarga Sangam , Ramalinga felt that he had sufficiently prepared himself for his mission in life .",ऐसा लगता है कि करूंगुझी प्रवास के अंतिम वर्षो मे सन्मार्ग संगम की स्थापना के साथ रामलिंग को कदाचित लगने लगा था कि उन्होनें अपने आपको जीवन के महान लक्ष्य के लिए तैयार कर लिया है .
indic2012,Tourism,पर्यटन
tides,Some of them were political exiles since the first world war who had worked with the German Foreign Office to organise a revolt in India .,इनमें से कुछ ने जर्मन विदेश विभाग के सहयोग से भारत में बगावत फैलाने का प्रयास किया था और प्रथम विश्वयुद्ध के दिनों से ही राजनीतिक निष्कासन भुगत रहे थे .
tides,"The practice of exchanging arguments by , members between themselves or of indulging in a soft of running commentary on another member 's speech or minister 's statement has been deprecated by the Speaker .",सदस्यों द्वारा आपस में तर्क-वितर्क करने या किसी अन्य सदस्य के भाषण पर या मंत्री के वक्तव्य पर बराबर टिप्पणियां करते रहने की अध्यक्ष द्वारा निंदा की गई है .
indic2012,class: Taj Mahal,श्रेणी:ताजमहल
indic2012,These four sections are collectively called as Shruti and are of prime importance for hindu religion,ये चार भाग सम्मिलित रूप से श्रुति कहे जाते हैं जो हिन्दू धर्म के सर्वोच्च ग्रन्थ हैं ।
ted,You can't catch me.,तुम मुझे पकड़ नहीं सकते।
ted,they can save lives.,वो जानें बचा सकते हैं.
ted,"substance abuse, drugs, everything under the sun.","मादक द्रव्यों का सेवन, नशीले पदार्थ, सब कुछ."
ted,I came mainly to be reunited with my family,"मैं तो बस अपने परिवार के साथ रहने आयी थी,"
indic2012,JawaharLal Nehru joined with “”Josip Broz Tito“” and “”Gamal Abdel Nasser“” to form a movement of “”Non-Alignment“” for the end of Colonialism.,जवाहर लाल नेहरू ने जोसेफ ब्रॉज टीटो और अब्दुल गमाल नासिर के साथ मिलकर एशिया और अफ्रीका में उपनिवेशवाद के खात्मे के लिए एक निर्गुट आंदोलन की रचना की।
indic2012,In that terrorist creats used situation regularly in one big position.,जिसमें आतंकवादी रणनीति का उपयोग किया जाता है कि संदर्भ से है अक्सर एक बड़े पैमाने पर अनसुलझे राजनैतिक संघर्ष (conflict).संघर्ष के इस प्रकार व्यापक रूप से बदलती है; ऐतिहासिक उदाहरणों में शामिल हैं:
ted,"almost to the point of disinheritance,",ज़मीन लगभग खो दी थी
tides,Sewage Pollutants in Water Water pollution has been a problem ever since we started disposing sewage into our rivers and other water courses .,पानी में मलजल प्रदूषण जब से हमने अपनी नदियों तथा अन्य जल स्रातों में मलजल बहाना शुरू किया है तब से जल प्रदूषण एक बहुत बडऋऋ समस्या बन गयी है .
ted,choosing to move forward and move on,"आगे बढ़ने का तय करके,"
indic2012,"Mobile phone regularly called as four pictures {if first three are cinema , TV and PC picture }or third picture [if TV and PC picture calculate}in mass media it called as fourth.",मोबाइल फोन को अक्सर चौथा चित्रपट कहा जाता है (यदि पहले तीन के रूप में सिनेमा TV और PC चित्रपट को गिना जाए) या तीसरा चित्रपट (यदि केवल TV और PC चित्रपट को गिना जाए).इसे मास मीडिया में सातवाँ भी कहा जाता है (पहले छः में प्रिंट रिकॉर्डिंग सिनेमा रेडियो TV और इंटरनेट के साथ).मोबाइल की शुरूआती अवयव हैं विरासत मीडिया की प्रतियाँ जैसे की बैनर विज्ञापन या TV समाचार उजागर के वीडियो कर्तन.हाल ही में मोबाईल के लिए अद्वितीय अवयवों का विकास हुआ है रिंग टोन और वापस रिंग करने वाले टोन से लेकर मोबीसोड तक वीडियो अवयव जो विशेष रूप से मोबाइल फोनों के लिए तैयार की गई है.
indic2012,Devi and Devata,देवी और देवता
ted,"Now, the conventional wisdom was that Nigerians don't read literature.",लेकिन आम धारणा तो यह थी कि नाइजीरियाइ लोग साहित्य नहीं पढ़ते.
indic2012,Category: Languages of the world,श्रेणी:विश्व की भाषाएँ
ted,that you can love someone,कि आप किसी से प्यार कर सकते हैं
indic2012,brabourne stadium is one of the oldest stadium in the city.,ब्रेबोर्न स्टेडियम शहर के सबसे पुराने क्रिकेट स्टेडियमों में से एक है
tides,"Reluctant to taste the most carefully prepared delicacies made to tempt his palate , he would nibble , eagerly and excitedly like a child , at a wild jambu berry when a bunch of them was brought to him .","वह बड़ी दृढ़ता से उस खाद्य पदार्थ को चखने से मना कर देते थे जो उन्हें प्रिय थी और जो बड़े जतन से उससे बनाई गई थी , दूसरी ओर बड़ी अधीरता से और एक बच्चे की तरह जंगली जंबू बेरों को खाने के लिए जिद करते जो उनके पास लाए जाते ."
tides,"In the first phase , he proposed the setting up of a Free Indian Government in Europe and a treaty between Germany and Italy on the one hand and the Free Indian Government on the other guaranteeing India 's independence in the event of victory in the war .","इसमें प्रस्तावित पहली प्रावस्था थी यूरोप में ? फ्री इंडियन गवर्नमेंट ? , यानी स्वाधीन भारत सरकार की स्थापना तथा फ्री इंडियन गवर्नमेंट और जर्मनी एवं इटली के बीच संधि , जिसके तहत युद्ध में विजयी होने पर ये दोनों भारत की स्वाधीनता के जामिन होंगे ."
tides,"“ As the echo belongs to the sound and the shadow to the substance , evil overtakes the evildoer . ”","वत्स जिस तरह प्रत्येक आवाज की प्रतिध्वनि उसी आवाज की ही तरह होती है और परछाई अपने पदार्थ की तरह.उसी प्रकार बुरा करने वाले के हाथ बुराई ही आती है , ? ? गौतम बुद्ध ने समझाया ."
indic2012,"The reason of difference in scenarios is they are using various modules to emission of greenhouse gas. They are made different scale for climate sensitivity, although study is focused up to 2100 duration, Even if greenhouse gas level are stabilized then also they are hoping that it will worming and increase in level of ocean.",परिणामो में इतनी भिन्ता (scenarios)का कारन है ग्रीन्हौसे गैसों (greenhouse gas)के उत्सर्जन के अलग-अलग मापदंड इस्तेमाल किए जा रहे हैं और जलवायु संवेदनशीलता (climate sensitivity)के भी अलग-अलग पैमाने बनाये गए हैं हालांकि अधिकतर अध्ययन 2100 तक की अवधि पर केद्रित हैं फिर भी भले ही ग्रीनहाउस गैस के स्तर स्थिर हो जाएं तब भी वार्मिंग तथा समुद्र के स्तर में वृद्वि होने की लगातार आशा की जाती है।
ted,"at a six-figure profit,",वो भी 6 अंकीय लाभ पर
tides,"For Clinton , the journey to Kutch was defined by an Indian summer of sorrow , as it was written on the face of Nandeesh .","इंक्लटन के लिए कच्छ की यात्रा भारतीय विपदा से रू-ब-रू होने जैसी है , जो नंदीश के चेहरे पर साफ-साफ दिखती है ."
ted,and the quality of your life.,और अपने जीवन की गुणवत्ता में मौलिक परिवर्तन ला सकते हैं |
indic2012,During Second World War Azad Hind Fauj with help of Japanese army attacked on India.,द्वितीय विश्वयुद्ध के दौरान आज़ाद हिन्द फौज ने जापानी सेना के सहयोग से भारत पर आक्रमण किया।
indic2012,Long corners have heavy weight arch shaped doors.,लम्बे किनारों पर एक भारी-भरकम पिश्ताक या मेहराबाकार छत वाले कक्ष द्वार हैं।
tides,"He was a censor of morals , a municipal executive and a judge in certain types of cases with limited powers of punishment .","वह आचरणों का निरीक्षक , नगरपालिका का कार्यपालक और कुछ मामलों में दंड देने की सीमित शक्ति से संपन्न न्यायाधीश"
indic2012,The high court in Allahabad in uttarpradesh is the biggest in Asia,उत्तर प्रदेश में स्थित इलाहाबाद उच्च न्यायालय एशिया का सबसे बड़ा उच्च न्यायालय है।
